id,page_key,section_key,eyebrow,title,subtitle,body,image_url,button_label,button_url,is_visible,sort_order,created_at,updated_at,secondary_button_label,secondary_button_url,content,admin_label,section_type
115750d0-50f8-49b2-a9ef-89d4909778cd,about,hero,About Crafteris,A studio built for people who want to make.,null,"Crafteris brings pottery, glass and creative experiences together in one welcoming studio in Malta.",/visit/visit-hero.png,Explore Crafteris,/explore,true,10,2026-08-26 10:35:06.494294+00,2026-08-26 10:35:06.494294+00,Visit the studio,/visit,{},Hero,hero
6d7e9c80-102b-4ae3-9232-b811ee04180b,about,story,Our idea,Make something worth keeping.,null,"Crafteris is a creative studio built around a simple idea: making things with your hands should feel accessible, rewarding and enjoyable.\n\nSome people come for a single workshop. Some want to learn a new craft across several weeks. Others want a studio they can return to regularly and work more independently.\n\nCrafteris brings those different ways of making together in one place.",null,null,null,true,20,2026-08-26 10:35:06.494294+00,2026-08-26 10:35:06.494294+00,null,null,{},Our Story,standard
7af1b65e-1313-4e6e-bf2d-51ffa1848c7f,about,materials,Two creative worlds,"Pottery and glass, under one roof.",null,"Crafteris gives people the chance to explore different materials without needing separate studios, equipment or experience.\n\nYou can paint pottery one week, discover fused glass the next, join a longer course or eventually become a regular studio member.",/materials/pottery.png,Explore ways to make,/explore,true,30,2026-08-26 10:35:06.494294+00,2026-08-26 10:35:06.494294+00,null,null,{},Pottery & Glass,feature
9a9f39e9-be07-4a11-9368-4d933b74b18f,about,values,What matters to us,Creative without being intimidating.,null,"The studio is designed to feel professional, inspiring and approachable at the same time.",null,null,null,true,40,2026-08-26 10:35:06.494294+00,2026-08-26 10:35:06.494294+00,null,null,"{""items"":[{""text"":""Creativity should feel welcoming, whether it's your first workshop or your hundredth studio session."",""title"":""Make it approachable""},{""text"":""We believe the best creative experiences leave you with more than a finished object."",""title"":""Make it meaningful""},{""text"":""Crafteris is built around shared studio space, conversation and the simple joy of making alongside other people."",""title"":""Make it together""}]}",Our Values,cards
3924a3bc-f8fe-4e7c-b134-f0e22863e4e7,about,studio,The studio,"A place to learn, experiment and return to.",null,Crafteris is more than a room where workshops happen. It's a working creative studio designed around different levels of experience.,/visit/studio-inside.png,null,null,true,50,2026-08-26 10:35:06.494294+00,2026-08-26 10:35:06.494294+00,null,null,"{""items"":[{""text"":""From painting and hand building to courses and independent studio access."",""title"":""Pottery"",""button_url"":""/workshops"",""button_label"":""Discover more""},{""text"":""Explore fused and stained glass through workshops, programmes and regular making."",""title"":""Glass"",""button_url"":""/workshops"",""button_label"":""Discover more""},{""text"":""A place for beginners, regular makers, groups and creative people to spend time together."",""title"":""Community"",""button_url"":""/membership"",""button_label"":""Discover more""}]}",The Studio,feature
766bec90-b6c7-4c0f-ace8-da2aa0048972,about,people,Who is Crafteris for?,Anyone curious enough to try.,null,"You do not need to consider yourself an artist or maker before coming through the door.\n\nCrafteris is designed for complete beginners, experienced creatives, friends looking for something different, families, teams, students and people who simply want to spend more time making things.",null,Find something to try,/whats-on,true,60,2026-08-26 10:35:06.494294+00,2026-08-26 10:35:06.494294+00,null,null,{},Who Crafteris Is For,standard
cc01facb-9a89-45e2-ad06-5d565c71d3a3,about,final_cta,Come make something,The easiest way to understand Crafteris is to experience it.,null,Browse upcoming workshops and programmes or plan a visit to the studio.,null,See what's on,/whats-on,true,70,2026-08-26 10:35:06.494294+00,2026-08-26 10:35:06.494294+00,Visit Crafteris,/visit,{},Final CTA,cta
16c58b80-e728-437d-b60c-43c9f4254f69,contact,hero,GET IN TOUCH,Tell us what you're looking for today.,null,"Questions about workshops, memberships, groups or the studio? Send us a message and we'll help point you in the right direction.",null,Send an enquiry,#contact-form,true,10,2026-08-26 10:40:48.636447+00,2026-08-26 10:42:40.045884+00,null,null,"{""items"":[]}",Hero,hero
a04f2731-7091-4c89-8c9a-24070682bb88,contact,contact,CONTACT THE STUDIO,How can we help?,null,Choose the reason for your enquiry and give us a few details. Your message will go directly to the studio team.,null,null,null,true,20,2026-08-26 10:40:48.636447+00,2026-08-26 10:40:48.636447+00,null,null,"{""items"":[{""text"":""Contact the studio"",""title"":""Email""},{""text"":""Malta"",""title"":""Studio""},{""text"":""By session or arrangement"",""title"":""Visits""}]}",Contact Form Introduction,cards
d6916149-f9ff-49b9-9c99-44fe1c8bd11e,contact,help,BEFORE YOU MESSAGE,You might find the answer here.,null,null,null,null,null,true,30,2026-08-26 10:40:48.636447+00,2026-08-26 10:43:19.248447+00,null,null,"{""items"":[{""text"":""Explore one-off pottery and glass experiences."",""title"":""Workshops"",""image_url"":""https://jvfdolruhnatwyiijoyx.supabase.co/storage/v1/object/public/studio-media/website-content/items/153c801c-5b4b-4884-9312-dbed5a423398.png"",""button_url"":""/workshops"",""button_label"":""View workshops""},{""text"":""See studio access and regular making options."",""title"":""Membership"",""image_url"":"""",""button_url"":""/membership"",""button_label"":""View memberships""},{""text"":""Find answers about booking, making, collection and visits."",""title"":""FAQs"",""image_url"":"""",""button_url"":""/faqs"",""button_label"":""Read FAQs""}]}",Before You Message,cards
